"Periodo","Tienda","Turno","Efectivo","Tarjeta","Total"
"2026-05-12","Salto del Agua","Ambos","8770","849.07","9619.07"
"2026-05-13","Salto del Agua","Ambos","7555","1765.3","9320.3"
"2026-05-14","Salto del Agua","Ambos","9487","1252.02","10739.02"
"2026-05-15","Salto del Agua","Ambos","7342","1165.67","8507.67"
"2026-05-16","Salto del Agua","Ambos","6879","345.38","7224.38"
"2026-05-17","Salto del Agua","Ambos","3210","302.21","3512.21"
"2026-05-18","Salto del Agua","Ambos","5489","638","6127"
"2026-05-19","Salto del Agua","Ambos","10547","2120.27","12667.27"
"2026-05-20","Salto del Agua","Ambos","8812","882.65","9694.65"
"2026-05-21","Salto del Agua","Ambos","7472","748.33","8220.33"
"2026-05-22","Salto del Agua","Ambos","6872","1180.06","8052.06"
"2026-05-23","Salto del Agua","Ambos","5437","239.85","5676.85"
"2026-05-24","Salto del Agua","Ambos","3780","278.23","4058.23"
"2026-05-25","Salto del Agua","Ambos","5490","2566.4","8056.4"
"2026-05-26","Salto del Agua","Ambos","9437","1360.43","10797.43"
"2026-05-27","Salto del Agua","Ambos","7982","1299.99","9281.99"
"2026-05-28","Salto del Agua","Ambos","7625","849.07","8474.07"
"2026-05-29","Salto del Agua","Ambos","9882","1376.74","11258.74"
"2026-05-30","Salto del Agua","Ambos","5372","892.24","6264.24"
"2026-05-31","Salto del Agua","Ambos","4175","398.15","4573.15"
"2026-06-01","Salto del Agua","Ambos","7272","1256.81","8528.81"
"2026-06-02","Salto del Agua","Ambos","10672","1453.49","12125.49"
"2026-06-03","Salto del Agua","Ambos","11100","1976.36","13076.36"
"2026-06-04","Salto del Agua","Ambos","8504","1832.45","10336.45"
"2026-06-05","Salto del Agua","Ambos","10120","1424.71","11544.71"
"2026-06-06","Salto del Agua","Ambos","6102","992.98","7094.98"
"2026-06-07","Salto del Agua","Ambos","4095","494.09","4589.09"
"2026-06-08","Salto del Agua","Ambos","4839","887.45","5726.44"
"2026-06-09","Salto del Agua","Ambos","9457","2125.07","11582.07"
"2026-06-10","Salto del Agua","Ambos","8487","2038.72","10525.72"
"2026-06-11","Salto del Agua","Ambos","6900","1472.68","8372.68"
"2026-06-12","Salto del Agua","Ambos","8520","1794.08","10314.08"
"2026-06-13","Salto del Agua","Ambos","6330","1213.64","7543.64"
"2026-06-14","Salto del Agua","Ambos","4375","249.44","4624.44"
"2026-06-15","Salto del Agua","Ambos","7452","988.18","8440.18"
"2026-06-16","Salto del Agua","Ambos","12750","2959.75","15709.75"
"2026-06-17","Salto del Agua","Ambos","11170","2470.46","13640.46"
"2026-06-18","Salto del Agua","Ambos","8250","2182.64","10432.64"
"2026-06-19","Salto del Agua","Ambos","8595","1338.36","9933.36"
"2026-06-20","Salto del Agua","Ambos","6752","479.7","7231.7"
"2026-06-21","Salto del Agua","Ambos","4300","354.98","4654.98"
"2026-06-22","Salto del Agua","Ambos","7900","1160.87","9060.87"
"2026-06-23","Salto del Agua","Ambos","9300","1386.33","10686.33"
"2026-06-24","Salto del Agua","Ambos","7590","1602.2","9192.2"
"2026-06-25","Salto del Agua","Ambos","8500","1774.89","10274.89"
"2026-06-26","Salto del Agua","Ambos","7015","1364.27","8379.27"
"2026-06-27","Salto del Agua","Ambos","7350","599.63","7949.63"
"2026-06-28","Salto del Agua","Ambos","3390","148.71","3538.71"
"2026-06-29","Salto del Agua","Ambos","6700","1611.79","8311.79"
"2026-06-30","Salto del Agua","Ambos","7470","2623.96","10093.96"
"2026-07-01","Salto del Agua","Ambos","8850","2638.35","11488.35"
"2026-07-02","Salto del Agua","Ambos","9015","2067.51","11082.51"
"2026-07-03","Salto del Agua","Ambos","9600","1966.77","11566.77"
"2026-07-04","Salto del Agua","Ambos","6770","2201.82","8971.82"
"2026-07-05","Salto del Agua","Ambos","2460","354.98","2814.98"
"2026-07-06","Salto del Agua","Ambos","5950","849.07","6799.07"
"2026-07-07","Salto del Agua","Ambos","10365","1491.87","11856.87"
"2026-07-08","Salto del Agua","Ambos","7710","2081.9","9791.9"
"2026-07-09","Salto del Agua","Ambos","8870","1127.3","9997.29"
"2026-07-10","Salto del Agua","Ambos","9700","1338.36","11038.36"
"2026-07-11","Salto del Agua","Ambos","7200","1002.57","8202.57"
"2026-07-12","Salto del Agua","Ambos","5650","964.2","6614.2"
"2026-07-13","Salto del Agua","Ambos","8060","1722.12","9782.12"
"2026-07-14","Salto del Agua","Ambos","10600","1842.05","12442.05"
"2026-07-15","Salto del Agua","Ambos","10400","2470.46","12870.45"
"2026-07-16","Salto del Agua","Ambos","9320","2489.64","11809.64"
"2026-07-17","Salto del Agua","Ambos","8570","1717.33","10287.33"
"2026-07-18","Salto del Agua","Ambos","6485","897.04","7382.04"
"2026-07-19","Salto del Agua","Ambos","3715","0","3715"
"2026-07-20","Salto del Agua","Ambos","7520","968.99","8488.99"
"2026-07-21","Salto del Agua","Ambos","9420","2064.63","11484.63"
"2026-07-22","Salto del Agua","Ambos","8390","1746.11","10136.11"
"2026-07-23","Salto del Agua","Ambos","8200","1194.45","9394.45"
"2026-07-24","Salto del Agua","Ambos","7450","1659.76","9109.76"
"2026-07-25","Salto del Agua","Ambos","4250","254.24","4504.24"
"2026-07-26","Salto del Agua","Ambos","4050","177.49","4227.49"
"2026-07-27","Salto del Agua","Ambos","6600","1098.51","7698.51"
"2026-07-28","Salto del Agua","Ambos","7370","2811.04","10181.04"
"2026-07-29","Salto del Agua","Ambos","6560","1640.57","8200.57"
"2026-07-30","Salto del Agua","Ambos","7090","1530.24","8620.24"
"2026-07-31","Salto del Agua","Ambos","9925","2033.93","11958.93"
"2026-08-01","Salto del Agua","Ambos","7100","882.65","7982.65"
"2026-08-02","Salto del Agua","Ambos","4385","676.38","5061.38"
"2026-08-03","Salto del Agua","Ambos","6350","1323.97","7673.97"
"2026-08-04","Salto del Agua","Ambos","9450","2504.03","11954.03"
"2026-08-05","Salto del Agua","Ambos","10190","2192.23","12382.23"
"2026-08-06","Salto del Agua","Ambos","7565","2763.07","10328.07"
"2026-08-07","Salto del Agua","Ambos","8005","1870.83","9875.83"
"2026-08-08","Salto del Agua","Ambos","4920","666.78","5586.78"
