"Periodo","Tienda","Turno","Efectivo","Tarjeta","Total"
"2025-07-01","Salto del Agua","Ambos","5066","608.26","5674.26"
"2025-07-02","Salto del Agua","Ambos","4265","1011.21","5276.21"
"2025-07-03","Salto del Agua","Ambos","4323","522.87","4845.87"
"2025-07-04","Salto del Agua","Ambos","4558","755.05","5313.05"
"2025-07-05","Salto del Agua","Ambos","3575","110.33","3685.33"
"2025-07-06","Salto del Agua","Ambos","2040","82.51","2122.51"
"2025-07-07","Salto del Agua","Ambos","3777","366.49","4143.49"
"2025-07-08","Salto del Agua","Ambos","4246","302.21","4548.21"
"2025-07-09","Salto del Agua","Ambos","4467","512.32","4979.32"
"2025-07-10","Salto del Agua","Ambos","3260","245.61","3505.61"
"2025-07-11","Salto del Agua","Ambos","4392","331.95","4723.95"
"2025-07-12","Salto del Agua","Ambos","3205","417.34","3622.34"
"2025-07-13","Salto del Agua","Ambos","1718","95.94","1813.94"
"2025-07-14","Salto del Agua","Ambos","4305","962.28","5267.28"
"2025-07-15","Salto del Agua","Ambos","5351","1027.52","6378.52"
"2025-07-16","Salto del Agua","Ambos","3864","669.66","4533.66"
"2025-07-17","Salto del Agua","Ambos","3802","967.08","4769.08"
"2025-07-18","Salto del Agua","Ambos","4435","1364.27","5799.27"
"2025-07-19","Salto del Agua","Ambos","4093","83.47","4176.47"
"2025-07-20","Salto del Agua","Ambos","794","0","794"
"2025-07-21","Salto del Agua","Ambos","3722","688.85","4410.85"
"2025-07-22","Salto del Agua","Ambos","4101","288.78","4389.78"
"2025-07-23","Salto del Agua","Ambos","3774","386.64","4160.64"
"2025-07-24","Salto del Agua","Ambos","3560","602.5","4162.5"
"2025-07-25","Salto del Agua","Ambos","3361","742.58","4103.58"
"2025-07-26","Salto del Agua","Ambos","1935","382.8","2317.8"
"2025-07-27","Salto del Agua","Ambos","1670","0","1670"
"2025-07-28","Salto del Agua","Ambos","3212","709","3921"
"2025-07-29","Salto del Agua","Ambos","2306","271.51","2577.51"
"2025-07-30","Salto del Agua","Ambos","4676","680.21","5356.21"
"2025-07-31","Salto del Agua","Ambos","4810","931.58","5741.58"
"2025-08-01","Salto del Agua","Ambos","4893","685.01","5578.01"
"2025-08-02","Salto del Agua","Ambos","1011","62.36","1073.36"
"2025-08-03","Salto del Agua","Ambos","2697","78.67","2775.67"
"2025-08-04","Salto del Agua","Ambos","3673","100.74","3773.74"
"2025-08-05","Salto del Agua","Ambos","5814","212.99","6026.99"
"2025-08-06","Salto del Agua","Ambos","3270","436.53","3706.53"
"2025-08-07","Salto del Agua","Ambos","2710","794.38","3504.38"
"2025-08-08","Salto del Agua","Ambos","3587","182.29","3769.29"
"2025-08-09","Salto del Agua","Ambos","3262","733.94","3995.94"
"2025-08-10","Salto del Agua","Ambos","3652","402.95","4054.95"
"2025-08-11","Salto del Agua","Ambos","2044","191.88","2235.88"
"2025-08-12","Salto del Agua","Ambos","3048","819.33","3867.33"
"2025-08-13","Salto del Agua","Ambos","5754","1107.15","6861.15"
"2025-08-14","Salto del Agua","Ambos","4703","1755.7","6458.7"
"2025-08-15","Salto del Agua","Ambos","5625","1115.78","6740.78"
"2025-08-16","Salto del Agua","Ambos","4358","681.17","5039.17"
"2025-08-17","Salto del Agua","Ambos","3145","469.15","3614.15"
"2025-08-18","Salto del Agua","Ambos","4103","463.39","4566.39"
"2025-08-19","Salto del Agua","Ambos","3768","324.28","4092.28"
"2025-08-20","Salto del Agua","Ambos","5150","1320.13","6470.13"
"2025-08-21","Salto del Agua","Ambos","4120","460.51","4580.51"
"2025-08-22","Salto del Agua","Ambos","4191","1241.46","5432.46"
"2025-08-23","Salto del Agua","Ambos","2109","307.01","2416.01"
"2025-08-24","Salto del Agua","Ambos","3090","615.93","3705.93"
"2025-08-25","Salto del Agua","Ambos","2240","424.05","2664.05"
"2025-08-26","Salto del Agua","Ambos","3098","182.29","3280.29"
"2025-08-27","Salto del Agua","Ambos","2983","0","2983"
"2025-08-28","Salto del Agua","Ambos","4394","367.45","4761.45"
"2025-08-29","Salto del Agua","Ambos","6834","2950.16","9784.16"
"2025-08-30","Salto del Agua","Ambos","3961","417.34","4378.34"
"2025-08-31","Salto del Agua","Ambos","2171","796.3","2967.3"
"2025-09-01","Salto del Agua","Ambos","4431","303.17","4734.17"
"2025-09-02","Salto del Agua","Ambos","3241","261.92","3502.92"
"2025-09-03","Salto del Agua","Ambos","2650","163.1","2813.1"
"2025-09-04","Salto del Agua","Ambos","3336","757.93","4093.93"
"2025-09-05","Salto del Agua","Ambos","4062","383.76","4445.76"
"2025-09-06","Salto del Agua","Ambos","3466","868.26","4334.26"
"2025-09-07","Salto del Agua","Ambos","2282","449","2731"
"2025-09-08","Salto del Agua","Ambos","2233","353.06","2586.06"
"2025-09-09","Salto del Agua","Ambos","4814","273.43","5087.43"
"2025-09-10","Salto del Agua","Ambos","3208","705.16","3913.16"
"2025-09-11","Salto del Agua","Ambos","3200","0","3200"
"2025-09-12","Salto del Agua","Ambos","5424","661.99","6085.99"
"2025-09-13","Salto del Agua","Ambos","2854","177.49","3031.49"
"2025-09-14","Salto del Agua","Ambos","2875","350.18","3225.18"
"2025-09-15","Salto del Agua","Ambos","2052","201.47","2253.47"
"2025-09-16","Salto del Agua","Ambos","0","0","0"
"2025-09-17","Salto del Agua","Ambos","3564","1211.72","4775.72"
"2025-09-18","Salto del Agua","Ambos","2620","391.44","3011.44"
"2025-09-19","Salto del Agua","Ambos","4434","604.42","5038.42"
"2025-09-20","Salto del Agua","Ambos","2897","225.46","3122.46"
"2025-09-21","Salto del Agua","Ambos","2068","148.71","2216.71"
"2025-09-22","Salto del Agua","Ambos","3333","276.31","3609.31"
"2025-09-23","Salto del Agua","Ambos","4409","1104.27","5513.27"
"2025-09-24","Salto del Agua","Ambos","5825","38.38","5863.38"
"2025-09-25","Salto del Agua","Ambos","4596","242.73","4838.73"
"2025-09-26","Salto del Agua","Ambos","6483","633.2","7116.2"
"2025-09-27","Salto del Agua","Ambos","4490","945.01","5435.01"
"2025-09-28","Salto del Agua","Ambos","2479","364.57","2843.57"
"2025-09-29","Salto del Agua","Ambos","3443","378.96","3821.96"
"2025-09-30","Salto del Agua","Ambos","6955","1487.07","8442.07"
"2025-10-01","Salto del Agua","Ambos","7530","508.48","8038.48"
"2025-10-02","Salto del Agua","Ambos","8335","1477.48","9812.48"
"2025-10-03","Salto del Agua","Ambos","6965","1630.98","8595.98"
"2025-10-04","Salto del Agua","Ambos","6579","858.66","7437.66"
"2025-10-05","Salto del Agua","Ambos","4450","623.61","5073.61"
"2025-10-06","Salto del Agua","Ambos","2500","378.96","2878.96"
"2025-10-07","Salto del Agua","Ambos","7010","681.17","7691.17"
"2025-10-08","Salto del Agua","Ambos","7320","1338.36","8658.36"
"2025-10-09","Salto del Agua","Ambos","7170","1170.47","8340.47"
"2025-10-10","Salto del Agua","Ambos","7978","877.85","8855.85"
"2025-10-11","Salto del Agua","Ambos","6065","647.6","6712.6"
"2025-10-12","Salto del Agua","Ambos","4895","374.17","5269.17"
"2025-10-13","Salto del Agua","Ambos","4080","777.11","4857.11"
"2025-10-14","Salto del Agua","Ambos","7423","968.99","8391.99"
"2025-10-15","Salto del Agua","Ambos","9919","877.85","10796.85"
"2025-10-16","Salto del Agua","Ambos","9919","1664.56","11583.56"
"2025-10-17","Salto del Agua","Ambos","7175","1280.8","8455.8"
